tts,tts_naive
"[9.361732006072998, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667}}}]","[19.659350156784058, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334, 'tts_naive': 0.05439330543933055}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667, 'tts_naive': 0.058577405857740586}}}]"
"[10.098034143447876, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667}}}]","[19.767164707183838, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334, 'tts_naive': 0.05439330543933055}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667, 'tts_naive': 0.058577405857740586}}}]"
"[9.34687352180481, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667}}}]","[18.979193687438965, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334, 'tts_naive': 0.05439330543933055}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667, 'tts_naive': 0.058577405857740586}}}]"
"[9.299988508224487, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667}}}]","[18.23511815071106, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334, 'tts_naive': 0.05439330543933055}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667, 'tts_naive': 0.058577405857740586}}}]"
"[9.407395362854004, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667}}}]","[17.92788076400757, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334, 'tts_naive': 0.05439330543933055}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667, 'tts_naive': 0.058577405857740586}}}]"
"[9.144073486328125, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667}}}]","[17.948851108551025, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334, 'tts_naive': 0.05439330543933055}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667, 'tts_naive': 0.058577405857740586}}}]"
"[9.463135957717896, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667}}}]","[18.37418556213379, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334, 'tts_naive': 0.05439330543933055}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667, 'tts_naive': 0.058577405857740586}}}]"
"[9.058805465698242, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667}}}]","[18.684520959854126, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334, 'tts_naive': 0.05439330543933055}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667, 'tts_naive': 0.058577405857740586}}}]"
"[9.202007293701172, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667}}}]","[17.606603145599365, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334, 'tts_naive': 0.05439330543933055}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667, 'tts_naive': 0.058577405857740586}}}]"
"[9.35411524772644, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667}}}]","[18.33526849746704, {'xy_Caroline_CH_surrY': {'mutual_info': {'tts': 0.10833333333333334, 'tts_naive': 0.05439330543933055}}, 'xy_Caroline_CH_surrX': {'mutual_info': {'tts': 0.11666666666666667, 'tts_naive': 0.058577405857740586}}}]"
,
